Observed cones colored
YELLOW | x:-1.1111856161054519 y:9.864688322944655
YELLOW | x:0.08548636157809496 y:8.057362868959352
YELLOW | x:1.0864758014753342 y:6.603991701776427
YELLOW | x:1.8119964718893051 y:4.994340180928154
YELLOW | x:-2.1683240690327237 y:11.469030590571464
YELLOW | x:-3.4546455919668198 y:13.120626603141073
YELLOW | x:-6.9948304623291016 y:15.920934274370117

BLUE | x:-1.7463153630420682 y:3.492619161381963
BLUE | x:-4.17327760397644 y:10.974667260820311
BLUE | x:-2.973533428701274 y:9.413051043524982
BLUE | x:-4.717468195152792 y:14.265680307720745
BLUE | x:-3.4462361862187705 y:16.18362227536703
BLUE | x:-1.7950012514914195 y:5.325647587154947
BLUE | x:-2.1974628001377106 y:7.111411585981292
BLUE | x:-2.2544190085522122 y:17.20617942800917
BLUE | x:-0.9556775676278251 y:18.339228636029578
BLUE | x:0.35494481392120786 y:19.440073458262262
YELLOW | x:3.165424913033476 y:3.3906158382016285
YELLOW | x:1.1325646493244383 y:11.889873565476446
YELLOW | x:6.017654898770141 y:18.481758668596193
YELLOW | x:5.141148395347086 y:16.918916712775474
YELLOW | x:1.8631511343451364 y:9.830084891833366
YELLOW | x:4.340733882792282 y:15.870068564588472
YELLOW | x:3.3382523566558837 y:15.237046744996947
YELLOW | x:3.117001500733185 y:5.50601942794983
YELLOW | x:1.0728102862909317 y:13.486965348894042
YELLOW | x:2.6528448127639317 y:7.907633155871359
YELLOW | x:2.386438307173538 y:14.569420093868814

BLUE | x:-1.5097118824645999 y:3.476427653009338
BLUE | x:-7.098220599683635 y:16.969914589896444
BLUE | x:-3.406441234541448 y:13.440280908917034
BLUE | x:-4.914059254519653 y:14.825977590257567
BLUE | x:-0.274840135853099 y:10.291712619296495
BLUE | x:-0.49576019809561833 y:4.74920758662089
BLUE | x:-1.4000788621530056 y:11.687384143049165
BLUE | x:0.9099258080199242 y:7.398042812520904
BLUE | x:0.5165866298054536 y:8.935177658572439
BLUE | x:0.5638481646850586 y:6.0633406982567335
YELLOW | x:5.613787320263672 y:4.5413223848488355
YELLOW | x:-2.2164397898573136 y:19.094914245514055
YELLOW | x:-0.0861475553289175 y:17.1121224508431
YELLOW | x:1.914156240232277 y:15.371388032609865
YELLOW | x:3.9489477876234265 y:13.506937471934139
YELLOW | x:5.115727666027832 y:11.710776275967204
YELLOW | x:6.210122997001866 y:8.022846855236509
YELLOW | x:6.192072570927429 y:6.263774628812713
YELLOW | x:5.890934605407206 y:10.05116784828369

