x,y,z
0.558029,4.300642,-2.622540
2.644856,10.778870,-5.973403
2.744572,10.837791,-5.957164
2.644856,10.789296,-5.954552
2.644856,10.799680,-5.935698
2.650731,10.833018,-5.931845
-0.230998,2.855536,-1.555686
-0.232415,2.878506,-1.555180
-0.232132,2.880407,-1.543227
-0.235288,2.431810,-1.317996
-0.230147,2.860852,-1.520547
-0.236305,2.446932,-1.315154
-0.232415,2.894385,-1.525426
-0.231565,2.889091,-1.509753
-0.236305,2.455839,-1.298444
-0.228163,2.851838,-1.477621
-0.235288,2.449772,-1.284302
-0.231565,2.899573,-1.489523
-0.232982,2.922278,-1.488945
-0.237661,2.483488,-1.279929
-0.232982,2.927464,-1.478723
-0.231848,2.918343,-1.461337
-0.232982,2.937743,-1.458194
-0.235288,2.471636,-1.241706
-0.231281,2.921341,-1.437349
-0.234949,2.472392,-1.231284
-0.230998,2.922511,-1.425892
-0.230714,2.923885,-1.413933
-0.234949,2.480939,-1.213970
-0.229581,2.914418,-1.396805
-0.230147,2.926490,-1.390035
-0.229581,2.924109,-1.376400
-0.228730,2.917816,-1.361622
-0.228730,2.922574,-1.351381
-0.228447,2.923647,-1.339505
-0.228730,2.931942,-1.330933
-0.233549,2.998435,-1.348503
-0.227880,2.930008,-1.306056
-0.232698,2.996602,-1.323211
-0.229297,2.957339,-1.293547
-0.229581,2.965518,-1.284754
-0.163132,3.325584,-1.814703
-0.232132,3.002989,-1.288547
-0.163992,3.349476,-1.812584
-0.236305,2.547571,-1.107695
-0.228730,2.963186,-1.259839
0.224160,4.853464,-2.619932
0.149697,4.931225,-2.674912
0.225946,4.910030,-2.607421
0.148950,4.915893,-2.644403
0.225784,4.915576,-2.588384
0.151618,5.013305,-2.674256
0.228870,4.991907,-2.606335
0.230820,5.043577,-2.610923
0.153538,5.095147,-2.673470
0.231957,5.077560,-2.606055
0.235693,5.168106,-2.630885
0.235693,5.177268,-2.612808
0.156739,5.229701,-2.674518
0.238779,5.254284,-2.628667
0.156419,5.227882,-2.651656
0.237804,5.241983,-2.599578
0.240241,5.304837,-2.607690
0.243327,5.381726,-2.623335
0.241865,5.358472,-2.588864
0.245601,5.450397,-2.609821
0.248687,5.528088,-2.623313
0.248525,5.533605,-2.602277
0.252098,5.621943,-2.620967
0.253560,5.663719,-2.616396
0.340306,5.650909,-2.624694
0.255185,5.709162,-2.613237
0.343797,5.718092,-2.631663
0.256971,5.758295,-2.611434
0.344887,5.745420,-2.619957
0.258758,5.807485,-2.609321
0.349250,5.827334,-2.632759
0.262007,5.889133,-2.622550
0.352959,5.898470,-2.640125
0.262982,5.920199,-2.611640
0.352741,5.903549,-2.618915
0.265256,5.980556,-2.613355
0.355795,5.963850,-2.620780
0.360158,6.046252,-2.631721
0.361903,6.084750,-2.623232
0.363212,6.115916,-2.611370
0.369538,6.231219,-2.636196
1.064495,9.544078,-4.664160
1.073269,9.630948,-4.685791
1.085234,9.778512,-4.654507
1.013060,9.793139,-4.723831
1.098795,9.908909,-4.695380
1.027162,9.937875,-4.772083
1.095205,9.884768,-4.662634
1.111956,10.068785,-4.663715
1.037552,10.080118,-4.732503
1.125118,10.195370,-4.702895
1.119534,10.152925,-4.661842
1.159817,10.560019,-4.737539
1.160614,10.575546,-4.722332
1.269060,10.821002,-4.785961
1.271619,10.850352,-4.778561
1.178163,10.784315,-4.682773
1.272899,10.869610,-4.764391
1.188932,10.891123,-4.706558
1.271193,10.863334,-4.739038
1.187337,10.884702,-4.681237
1.271193,10.871595,-4.720055
1.187735,10.896522,-4.663785
1.270340,10.872520,-4.697904
1.186938,10.897326,-4.641624
1.267354,10.855134,-4.667907
1.182949,10.868773,-4.607050
1.266927,10.859614,-4.647375
1.267354,10.871375,-4.629958
1.264794,10.857468,-4.601665
1.162179,10.150292,-4.743272
1.226561,10.830166,-4.746327
1.224910,10.823846,-4.721055
1.225322,10.835725,-4.703727
1.224084,10.832967,-4.680059
1.224084,10.841125,-4.661130
1.223672,10.845592,-4.640622
1.223259,10.850021,-4.620112
1.222434,10.850747,-4.598048
-0.232122,1.257854,-0.528563
-0.232122,1.259693,-0.524166
-0.233463,1.268808,-0.522767
-0.230780,1.256022,-0.512373
-0.229438,1.250403,-0.505247
-0.232122,1.268571,-0.502297
-0.232122,1.270318,-0.497862
-0.234428,1.184560,-0.459485
-0.232122,1.272050,-0.493422
-0.232122,1.273680,-0.489197
-0.230780,1.268009,-0.481944
-0.229438,1.262303,-0.474736
-0.235880,1.198160,-0.445841
-0.230780,1.271345,-0.473073
-0.235880,1.199714,-0.441641
-0.233463,1.287797,-0.474066
-0.230780,1.274542,-0.464391
-0.236605,1.206395,-0.434793
-0.232122,1.285184,-0.458123
-0.229438,1.271901,-0.448387
-0.232122,1.288354,-0.449133
-0.232122,1.291386,-0.440339
-0.232122,1.292916,-0.435825
-0.238850,1.137586,-0.383438
-0.232122,1.294431,-0.431306
-0.233463,1.303420,-0.429250
-0.232122,1.297338,-0.422479
-0.233463,1.306314,-0.420361
-0.232122,1.300258,-0.413405
-0.232122,1.301697,-0.408853
-0.229704,1.358710,-0.572019
-0.241365,1.077418,-0.342416
-0.222585,1.480878,-0.528396
-0.224828,1.504803,-0.507777
-0.229088,1.399534,-0.450520
-0.075560,4.644635,-1.817087
-0.006038,4.643741,-1.864309
-0.075742,4.662143,-1.805182
-0.006067,4.672529,-1.856939
-0.075742,4.668421,-1.788885
-0.006077,4.686432,-1.843533
-0.075742,4.674664,-1.772508
-0.006067,4.685093,-1.825008
-0.075923,4.692061,-1.760381
-0.006072,4.695172,-1.810068
-0.075499,4.672007,-1.734046
0.087923,6.363622,-2.676154
0.088636,6.424643,-2.675390
0.089095,6.467229,-2.666652
0.089961,6.539455,-2.669742
0.090572,6.592776,-2.666018
0.095972,7.029361,-2.714806
0.095717,7.014979,-2.696508
0.096940,7.109340,-2.718537
0.096940,7.114077,-2.706115
0.098723,7.249719,-2.743237
0.099334,7.299418,-2.747477
0.099792,7.337918,-2.747345
0.099690,7.335209,-2.731732
