# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
720.0; 25.691; 29.63; 0.00211; -0.02897; -0.01665; 0.01035
723.0; 25.793; 29.26; 0.00117; -0.04813; 0.03343; 0.01092
726.0; 25.896; 28.78; -0.00011; -0.07404; 0.08835; 0.00940
729.0; 26.001; 28.24; -0.00112; -0.09437; 0.14374; 0.00596
732.0; 26.108; 27.72; -0.00084; -0.10415; 0.19830; 0.00195
735.0; 26.217; 27.22; 0.00020; -0.12021; 0.25206; -0.00192
738.0; 26.328; 26.79; 0.00115; -0.13725; 0.30253; -0.00618
741.0; 26.440; 26.48; 0.00209; -0.15217; 0.34469; -0.01094
744.0; 26.552; 26.33; 0.00302; -0.16339; 0.37366; -0.01548
747.0; 26.665; 26.40; 0.00383; -0.17033; 0.38701; -0.01908
750.0; 26.778; 26.70; 0.00442; -0.17305; 0.38335; -0.02219
753.0; 26.889; 27.23; 0.00469; -0.17182; 0.36002; -0.02551
756.0; 26.997; 27.95; 0.00466; -0.16674; 0.31564; -0.02849
759.0; 27.103; 28.75; 0.00435; -0.15759; 0.25359; -0.03007
762.0; 27.206; 29.52; 0.00386; -0.14417; 0.18099; -0.02969
765.0; 27.307; 30.17; 0.00325; -0.12669; 0.10595; -0.02744
768.0; 27.406; 30.63; 0.00259; -0.10581; 0.03501; -0.02389
771.0; 27.504; 30.88; 0.00191; -0.08210; -0.02818; -0.01965
774.0; 27.601; 30.96; 0.00126; -0.05645; -0.08188; -0.01498
777.0; 27.699; 30.90; 0.00124; -0.05085; -0.12714; -0.01078
780.0; 27.797; 30.77; 0.00159; -0.04238; -0.16754; -0.00809
783.0; 27.895; 30.63; 0.00189; -0.03544; -0.20671; -0.00680
786.0; 27.993; 30.53; 0.00217; -0.02920; -0.24577; -0.00626
789.0; 28.092; 30.46; 0.00261; -0.01999; -0.28160; -0.00540
792.0; 28.192; 30.41; 0.00314; -0.01036; -0.31167; -0.00386
795.0; 28.291; 30.37; -0.00362; -0.00357; -0.33409; -0.00205
798.0; 28.390; 30.36; -0.00757; -0.00129; -0.34852; -0.00070
801.0; 28.490; 30.36; -0.00457; 0.00342; -0.35710; 0.00022
804.0; 28.590; 30.36; -0.00371; 0.00663; -0.36102; 0.00087
807.0; 28.689; 30.36; -0.00343; 0.00789; -0.36099; 0.00140
810.0; 28.789; 30.34; -0.00334; 0.00818; -0.35792; 0.00178
813.0; 28.888; 30.31; -0.00335; 0.00772; -0.35318; 0.00190
816.0; 28.988; 30.25; -0.00343; 0.00678; -0.34854; 0.00176
819.0; 29.088; 30.16; -0.00357; 0.00566; -0.34538; 0.00151
822.0; 29.188; 30.01; -0.00383; 0.00460; -0.34419; 0.00137
825.0; 29.289; 29.80; -0.00442; 0.00343; -0.34414; 0.00165
828.0; 29.391; 29.54; -0.00701; -0.01703; -0.34512; 0.00169
831.0; 29.493; 29.77; -0.01320; -0.02599; -0.34338; 0.00100
834.0; 29.594; 29.99; -0.00192; -0.01552; -0.34756; 0.00087
837.0; 29.695; 30.14; 0.00124; -0.01080; -0.34868; 0.00155
840.0; 29.795; 30.24; 0.00243; -0.00798; -0.34566; 0.00239
843.0; 29.895; 30.29; 0.00368; -0.00595; -0.33899; 0.00306
846.0; 29.995; 30.32; 0.00434; -0.00473; -0.32999; 0.00341
849.0; 30.095; 30.33; 0.00443; -0.00417; -0.32010; 0.00343
852.0; 30.194; 30.34; 0.00431; -0.00400; -0.31058; 0.00314
855.0; 30.294; 30.35; 0.00418; -0.00400; -0.30257; 0.00261
858.0; 30.393; 30.35; 0.00408; -0.00406; -0.29698; 0.00192
861.0; 30.493; 30.35; 0.00403; -0.00410; -0.29436; 0.00119
864.0; 30.593; 30.35; 0.00401; -0.00408; -0.29480; 0.00053
867.0; 30.692; 30.35; 0.00402; -0.00400; -0.29794; 0.00003
870.0; 30.792; 30.35; 0.00407; -0.00386; -0.30296; -0.00022
873.0; 30.891; 30.34; 0.00415; -0.00369; -0.30878; -0.00020
876.0; 30.991; 30.34; 0.00425; -0.00350; -0.31425; 0.00004
879.0; 31.090; 30.34; 0.00438; -0.00332; -0.31848; 0.00044
882.0; 31.190; 30.33; 0.00452; -0.00318; -0.32087; 0.00088
885.0; 31.290; 30.33; 0.00465; -0.00305; -0.32124; 0.00126
888.0; 31.389; 30.32; 0.00474; -0.00291; -0.31986; 0.00148
891.0; 31.489; 30.31; 0.00479; -0.00268; -0.31740; 0.00146
894.0; 31.589; 30.30; 0.00479; -0.00224; -0.31484; 0.00120
897.0; 31.688; 30.28; 0.00479; -0.00144; -0.31321; 0.00074
900.0; 31.788; 30.25; 0.00482; -0.00010; -0.31335; 0.00023
903.0; 31.888; 30.21; 0.00492; 0.00195; -0.31544; -0.00008
906.0; 31.988; 30.14; 0.00514; 0.00489; -0.31866; 0.00012
909.0; 32.088; 30.04; 0.00559; 0.00905; -0.32082; 0.00113
912.0; 32.189; 29.93; 0.00662; 0.01730; -0.31808; 0.00329
915.0; 32.290; 29.95; 0.01022; 0.02920; -0.30724; 0.00665
918.0; 32.391; 29.95; -0.00325; -0.18979; -0.31192; 0.00032
921.0; 32.492; 29.98; -0.00439; 0.04011; -0.33642; -0.00690
924.0; 32.593; 30.04; -0.00535; 0.02885; -0.34614; -0.00260
927.0; 32.693; 30.12; -0.00365; 0.02439; -0.34749; 0.00049
930.0; 32.793; 30.18; -0.00290; 0.02426; -0.34196; 0.00325
933.0; 32.894; 30.22; -0.00252; 0.02670; -0.32902; 0.00616
936.0; 32.994; 30.23; -0.00223; 0.03076; -0.30684; 0.00952
939.0; 33.094; 30.19; -0.00198; 0.03517; -0.27313; 0.01337
942.0; 33.194; 30.09; -0.00183; 0.03793; -0.22626; 0.01752
945.0; 33.294; 29.88; -0.00188; 0.03661; -0.16582; 0.02176
948.0; 33.395; 29.53; -0.00199; 0.03432; -0.09102; 0.02641
951.0; 33.498; 28.97; -0.00256; 0.02139; -0.00147; 0.03118
954.0; 33.603; 28.14; 0.00334; -0.01417; 0.10009; 0.03469
957.0; 33.711; 26.98; -0.00003; -0.07178; 0.20669; 0.03427
960.0; 33.824; 25.52; -0.00343; -0.12986; 0.31281; 0.02723
