# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
2163.0; 79.558; 23.98; -0.00471; -0.15684; -0.09436; -0.00335
2166.0; 79.683; 22.46; 0.00043; -0.21978; -0.01011; -0.00246
2169.0; 79.814; 21.40; 0.00533; -0.24407; 0.07855; -0.00410
2172.0; 79.949; 20.75; 0.00927; -0.25012; 0.15144; -0.01234
2175.0; 80.089; 20.47; 0.01178; -0.25162; 0.18690; -0.02397
2178.0; 80.229; 20.53; 0.01319; -0.25151; 0.18068; -0.03320
2181.0; 80.369; 20.93; 0.01399; -0.24684; 0.14737; -0.03581
2184.0; 80.505; 21.68; 0.01426; -0.23702; 0.10827; -0.03182
2187.0; 80.636; 22.87; 0.01372; -0.22532; 0.07499; -0.02518
2190.0; 80.760; 24.58; 0.01227; -0.21404; 0.04577; -0.01942
2193.0; 80.876; 26.73; 0.01020; -0.19917; 0.01610; -0.01545
2196.0; 80.984; 28.86; 0.00808; -0.17129; -0.01564; -0.01293
2199.0; 81.086; 30.38; 0.00620; -0.12781; -0.05083; -0.01161
2202.0; 81.183; 31.09; 0.00435; -0.08202; -0.09144; -0.01101
2205.0; 81.280; 31.21; 0.00210; -0.05052; -0.13699; -0.01012
2208.0; 81.377; 31.04; 0.00166; -0.04204; -0.18263; -0.00820
2211.0; 81.474; 30.83; 0.00207; -0.03223; -0.22357; -0.00588
2214.0; 81.572; 30.66; 0.00263; -0.01996; -0.25372; -0.00350
2217.0; 81.671; 30.53; 0.00320; -0.00866; -0.27184; -0.00158
2220.0; 81.770; 30.44; -0.00337; -0.00253; -0.28181; -0.00057
2223.0; 81.869; 30.40; -0.00747; -0.00141; -0.28749; -0.00040
2226.0; 81.968; 30.37; -0.00470; 0.00080; -0.29216; -0.00040
2229.0; 82.068; 30.34; -0.00398; 0.00221; -0.29647; -0.00033
2232.0; 82.167; 30.29; -0.00374; 0.00300; -0.30033; -0.00018
2235.0; 82.267; 30.20; -0.00369; 0.00332; -0.30370; -0.00001
2238.0; 82.367; 30.05; -0.00375; 0.00332; -0.30666; 0.00016
2241.0; 82.468; 29.81; -0.00394; 0.00319; -0.30940; 0.00033
2244.0; 82.570; 29.43; -0.00436; 0.00299; -0.31191; 0.00056
2247.0; 82.673; 28.89; -0.00546; -0.00424; -0.31468; 0.00063
2250.0; 82.777; 28.62; -0.01184; -0.01047; -0.31286; 0.00048
2253.0; 82.883; 28.30; -0.00930; -0.00037; -0.31482; 0.00066
2256.0; 82.990; 27.77; -0.00184; 0.00314; -0.31577; 0.00136
2259.0; 83.099; 27.21; -0.00050; 0.00615; -0.31551; 0.00235
2262.0; 83.203; 30.70; -0.00241; -0.01600; -0.31805; 0.00216
2265.0; 83.299; 31.83; 0.00056; 0.00477; -0.31884; 0.00155
2268.0; 83.394; 31.23; -0.00232; 0.00941; -0.31209; 0.00188
2271.0; 83.491; 30.64; -0.00008; -0.02138; -0.30686; 0.00041
2274.0; 83.590; 30.04; 0.00010; 0.02241; -0.30316; -0.00127
2277.0; 83.691; 29.30; 0.00045; -0.01369; -0.30229; -0.00372
2280.0; 83.794; 28.39; 0.00058; 0.03112; -0.30675; -0.00723
2283.0; 83.902; 27.14; 0.00157; 0.01841; -0.31697; -0.01072
2286.0; 84.014; 25.53; 0.00243; 0.03179; -0.33886; -0.01559
2289.0; 84.134; 23.69; 0.00369; 0.07660; -0.36694; -0.01732
2292.0; 84.274; 21.17; 0.01173; 0.12169; -0.37523; -0.01064
2295.0; 84.435; 18.86; 0.00827; 0.10247; -0.36633; -0.00302
2298.0; 84.605; 15.57; 0.00996; 0.07517; -0.34673; 0.00307
2301.0; 84.763; 27.89; 0.00334; 0.06161; -0.33031; 0.00305
2304.0; 84.871; 27.46; 0.00260; 0.04406; -0.32174; 0.00206
2307.0; 84.972; 31.11; 0.00206; 0.03614; -0.31768; 0.00078
2310.0; 85.069; 30.71; 0.00101; 0.02801; -0.32087; -0.00015
2313.0; 85.167; 30.11; 0.00171; 0.02279; -0.32771; -0.00077
2316.0; 85.264; 31.98; 0.00074; 0.03392; -0.33752; -0.00006
2319.0; 85.362; 30.37; 0.00074; 0.01374; -0.34699; 0.00090
2322.0; 85.461; 30.50; 0.00001; -0.00679; -0.35549; 0.00221
2325.0; 85.560; 30.26; 0.00027; -0.00793; -0.36369; 0.00447
2328.0; 85.660; 29.94; 0.00085; -0.00116; -0.36371; 0.00925
